,,,,,,,
,,"Disk number 1 is at the top (12 o'clock) and 2, 3, 4, etc. are clockwise.",,,,,
,,,,,,,
,image file name,disk 1,disk 2,disk 3,disk 4,disk 5 ,disk 6
,20230825_PoC1_0219_RGB_all,29 mm,28 mm,,,,
,20230825_PoC2_0219_RGB_all,28 mm,28 mm,,,,
,20230825_PoC4_0219_RGB_all,20 mm,28 mm,,,,
,20230825_PoC5_0219_RGB_all,12.5 mm,16 mm,,,,
,20230825_PoC6_0219_RGB_all,35 mm,33 mm,,,,
,20230825_PoC7_0219_RGB_all,16.5 mm,21 mm,,,,
,20230830_PoC3_0216_RGB_all,30 mm,30 mm,,,,
,20230830_PoC4_0216_RGB_all,7.5 mm,7.5 mm,,,,
,20230830_PoC5_0216_RGB_all,31 mm,30 mm,,,,
,20230830_PoC6_0216_RGB_all,10 mm,10 mm,,,,
,20230830_PoC7_0216_RGB_all,18 mm,30 mm,,,,
,20230830_PoC8_0216_RGB_all,11 mm,15 mm,,,,
,20230830_PoC9_0216_RGB_all,28 mm,29 mm,,,,
,20230830_PoC10_0216_RGB_all,15 mm,19 mm,,,,
,20230915_PoC1_0224_RGB_all,30 mm,30 mm,32 mm,30 mm,30 mm,30 mm
,20230915_PoC2_0224_RGB_all,28 mm,28 mm,32 mm,30 mm,32 mm,32 mm
,20231222_PoC2_0216_RGB_all,27 mm,30 mm,,,,
